community_size,community_size_log,semantic_change,ideology_semantic_change,male_ratio,friends_count_mean,friends_count_mean_log,friends_count_median,friends_count_median_log,follower_count_mean,follower_count_mean_log,follower_count_median,follower_count_median_log,tweet_count_mean,tweet_count_mean_log,tweet_count_median,tweet_count_median_log,tweet_count_rank,gender,age,is_org,betweenness,closeness,cluster_id,category,cluster_group,cluster_name,topic_words,top_follows
283,5.65,0.1162,0.0727,0.43,577.10,6.36,367,5.91,767.43,6.64,215,5.37,4588.56,8.43,949,6.86,88,0.50,2.16,0.21,0.97,0.32,10,sports,Miscellaneous,Running,"run,runner,marathon,triathlet,5k,race,athlet,fit,ironman,coach,healthi,rrca,ambassador,10k,endur","ATLtrackclub,PeachyRuns,runnersworld,ajc,ajcprr,AtlantaBeltLine,BarackObama,PhidippidesATL,piedmontpark,cnnbrk,wsbtv,ATL_Events,CityofAtlanta,cl_atlanta,AtlantaMagazine,active,brooksrunning,runmeb,Braves,nytimes,WomensRunning,weststride,JeffGalloway,AtlantaFalcons,bostonmarathon"
394,5.98,0.1105,0.1168,0.51,785.98,6.67,541,6.29,515.64,6.25,202,5.31,968.09,6.88,112.5,4.72,22,0.35,2.50,0.65,0.99,0.33,11,atlanta,Things To Do in Atlanta,restaur,"atlanta,servic,offer,event,locat,us,area,compani,metro,call,clean,apart,busi,restaur,discount","tasteofatlanta,ATLINtownPaper,atlantamusic,yelpatlanta,CityofAtlanta,atlantasocial,AtlantaFalcons,Q997Atlanta,AtlantaSymphony,Braves,CenterStageAtl,DiscoverAtlanta,ZooATL,UndergroundATL,atlantatribune,AtlantaMagazine,AtlantaBallet,atlandco,AtlantaDream,atlantapride,masquerade_atl,AtlantaDNA,AtlantaBeltLine,ajcatlanta,AtlantaParent"
346,5.85,0.1271,0.0649,0.48,620.86,6.43,380.5,5.94,394.70,5.98,99,4.60,3606.28,8.19,604.5,6.40,67,0.42,2.05,0.07,0.88,0.30,12,sports,Miscellaneous,Tennis,"tenni,blah,sport,mom,player,cricket,fan,proud,fanat,travel,biostatist,immateri,lover,blooper,shih","rogerfederer,RafaelNadal,DjokerNole,Wimbledon,serenawilliams,usopen,BarackObama,ajc,rolandgarros,MariaSharapova,AustralianOpen,andyroddick,andy_murray,Venuseswilliams,TheEllenShow,cnnbrk,CNN,jimmyfallon,nytimes,atptour,CaroWozniacki,wsbtv,espn,Oprah,TennisChannel"
297,5.69,0.1402,0.0829,0.67,592.94,6.39,371,5.92,630.59,6.45,174,5.16,12241.76,9.41,2474,7.81,127,0.38,1.53,0.03,0.91,0.29,13,sports,Miscellaneous,#whodat,"#whodat,orlean,nola,saint,lsu,#saint,dat,new,glass,@saint,#nola,member,cajun,tracklif,sport","Saints,drewbrees,Cantguardmike,A_kamara6,BarackObama,camjordan94,shonrp2,NFL,SeanPayton,markingram21,SportsCenter,LSUfootball,espn,LilTunechi,KingJames,ajc,Drake,AdamSchefter,stephenasmith,BleacherReport,obj,Mathieu_Era,JoeyB,TheEllenShow,JColeNC"
417,6.03,0.1136,0.0537,0.62,583.71,6.37,368,5.91,957.64,6.86,207,5.33,3743.02,8.23,642,6.46,71,0.31,2.34,0.51,0.98,0.31,14,society,education,HBCU,"morehous,colleg,spelman,student,educ,cau,@morehous,clark,communiti,univers,hbcu,offici,career,@cau,alumna","Morehouse,SpelmanCollege,ajc,CAU,BarackObama,CityofAtlanta,HowardU,HBCUBuzz,wsbtv,CNN,jarrettcartersr,KeishaBottoms,KasimReed,cl_atlanta,Oprah,themaroontiger,cnnbrk,nytimes,FOX5Atlanta,AtlantaMagazine,BDTSpelman,GAFollowers,MichelleObama,marclamonthill,ATL_Events"
565,6.34,0.1361,0.0779,0.89,714.27,6.57,399,5.99,548.01,6.31,133,4.89,7040.38,8.86,1380,7.23,110,0.09,1.39,0.05,0.88,0.28,15,sports,Soccer,International Soccer,"manchest,unit,soccer,fc,arsenal,#ggmu,footbal,@chelseafc,madrid,mufc,fan,que,sport,futbol,chelsea","premierleague,ChampionsLeague,Cristiano,ManUtd,BarackObama,FCBarcelona,ChelseaFC,realmadrid,ATLUTD,FIFAcom,Arsenal,neymarjr,LFC,SkySportsNews,brfootball,KingJames,FIFAWorldCup,realDonaldTrump,Drake,WayneRooney,rihanna,CNN,MesutOzil1088,BBCSport,SkySportsPL"
1015,6.92,0.0989,0.0542,0.75,655.71,6.49,442,6.09,1904.92,7.55,174,5.16,6744.17,8.82,1788,7.49,118,0.26,1.82,0.10,0.96,0.30,16,sports,Soccer,Atlanta United (US Soccer),"soccer,unit,@atlutd,#atlutd,atlanta,fan,fc,sport,utd,support,atlutd,#uniteandconqu,mls,club,member","ATLUTD,MLS,DEalesATLUTD,DirtySouthSoc,USMNT,JosefMartinez17,DougRobersonAJC,Longshoe,MFparkhurst,ajc,TerminusLegion,BarackObama,USWNT,JulianGressel,BocaBoca3,bguzan,FdeBoerofficial,alexmorgan13,ESPNFC,atlutd2,FOXSoccer,FootieMob,TaylorTwellman,ResurgenceATL,AtlantaFalcons"
453,6.12,0.1311,0.0605,0.50,520.02,6.25,299,5.70,854.63,6.75,223,5.41,7460.61,8.92,1305,7.17,105,0.42,1.88,0.31,0.97,0.31,17,atlanta,University,Georgia State University,"state,georgia,univers,gsu,student,@georgiastateu,#thestateway,panther,graduat,sport,#georgiast,@gsusign,alumna,offici,undergradu","GeorgiaStateU,GSUPanthers,ajc,georgiastateSC,gsusignal,GSUSpotlight,BarackObama,GeorgiaStateFB,GAFollowers,wsbtv,GSUArtSci,CityofAtlanta,gsu_library,CNN,GSUParking,GSU_SGA,GSURecreation,cl_atlanta,AtlantaFalcons,GSU_Research,RobinsonCollege,AtlantaMagazine,GeorgiaStateMBB,GSU_PAC,gsu_news"
282,5.64,0.1342,0.0668,0.58,750.59,6.62,414,6.03,1140.58,7.04,160.5,5.08,2933.07,7.98,379,5.94,40,0.41,2.04,0.15,0.90,0.29,18,society,education,Science,"scienc,phd,research,scientist,professor,@georgiatech,candid,student,studi,biolog,engin,@emoryunivers,neurosci,postdoc,emori","sciam,ScienceMagazine,nature,ScienceNews,NatGeo,NatureNews,NASA,newscientist,NSF,WIREDScience,ajc,BarackObama,NYTScience,neiltyson,ScienceChannel,PopSci,nytimes,BillGates,elonmusk,NPR,CityofAtlanta,Discovery,BillNye,scifri,GeorgiaTech"
456,6.12,0.1144,0.0541,0.46,818.32,6.71,456.5,6.12,15879.05,9.67,275,5.62,5577.42,8.63,671.5,6.51,72,0.41,2.54,0.50,0.92,0.30,19,society,health,care,"health,healthcar,care,medic,provid,patient,practic,surgeri,prevent,cdc,physician,public,plastic,servic,nurs","NPRHealth,NYTHealth,HarvardHealth,WSJhealth,MayoClinic,NBCNewsHealth,CDCgov,NIH,AmerMedicalAssn,CDC_eHealth,WHO,ajc,HHSGov,WebMD,CBSHealth,USATODAYhealth,bbchealth,PublicHealth,drsanjaygupta,womenshealth,TIMEHealth,nytimes,latimeshealth,CDCemergency,"
514,6.24,0.1175,0.0571,0.60,656.06,6.49,394,5.98,1300.18,7.17,279,5.63,2084.43,7.64,382.5,5.95,42,0.43,2.22,0.26,0.99,0.29,20,society,health,Emory,"emori,health,@emorymedicin,research,medicin,@emoryunivers,fellow,care,diseas,professor,medic,md,resid,@winshipatemori,physician","EmoryMedicine,emoryhealthcare,EmoryUniversity,emoryhealthsci,CarlosdelRio7,GradyHealth,CDCgov,ajc,EmoryDeptofMed,BarackObama,NEJM,gradydoctor,NIH,EmoryRollins,nytimes,CityofAtlanta,WHO,WinshipAtEmory,JAMA_current,childrensatl,drsanjaygupta,KeishaBottoms,Atul_Gawande,NPR,AmerMedicalAssn"
355,5.87,0.1071,0.0747,0.47,654.43,6.48,322,5.77,622.28,6.43,117,4.76,2963.91,7.99,371,5.92,38,0.47,2.36,0.29,0.92,0.31,21,atlanta,Real Estate,Gwinnett,"gwinnett,mom,consult,realtor,duluth,clean,metro,pilat,profession,develop,help,atlanta,web,famili,counti","GwinnettDaily,ajc,GwinnettNewsNow,wsbtv,GwinnettSchools,GwinnettChamber,GwinnettMag,GDPsports,GwinnettEvents,FOX5Atlanta,11AliveNews,gwinnettctynews,CityofAtlanta,AtlantaMagazine,BarackObama,CityofSuwanee,GAFollowers,AtlantaFalcons,cnnbrk,Infinite_Center,GeorgiaGwinnett,GaLawrenceville,ATL_Events,ExploreGeorgia,cl_atlanta"
329,5.80,0.1227,0.1294,0.66,831.00,6.72,534,6.28,762.15,6.64,229,5.43,5969.68,8.69,1318,7.18,107,0.29,1.43,0.13,0.95,0.29,22,entertainment,music,EDM/DJ,"dj,music,edm,produc,electron,remix,bass,danc,festiv,event,liquifi,#edm,techno,promot,spin","Zedd,Skrillex,CalvinHarris,tiesto,deadmau5,steveaoki,MartinGarrix,HARDWELL,diplo,davidguetta,kaskade,ultra,DillonFrancis,afrojack,nickyromero,Alesso,swedishousemfia,knifepartyinc,Fluxpavilion,porterrobinson,tomorrowland,bassnectar,Axwell,Ingrosso,zedsdead"
249,5.52,0.1220,0.0776,0.65,1123.84,7.02,662,6.50,1132.96,7.03,140,4.94,3173.69,8.06,782,6.66,80,0.29,1.86,0.14,0.88,0.30,23,entertainment,music,Rock n Roll,"rock,guitar,music,band,guitarist,musician,blue,lukicoleon,vocal,songwrit,roll,floyd,cabinet,metal,cruehead","RollingStones,gunsnroses,PaulMcCartney,MickJagger,thebeatles,Metallica,Slash,ajc,OzzyOsbourne,foofighters,Aerosmith,pinkfloyd,jimmyfallon,RollingStone,PearlJam,ChiliPeppers,officialKeef,IamStevenT,ringostarrmusic,cl_atlanta,BlackSabbath,ConanOBrien,BarackObama,wsbtv,IronMaiden"
337,5.82,0.1207,0.0748,0.25,487.83,6.19,360,5.89,914.02,6.82,172,5.15,7024.84,8.86,2373,7.77,126,0.76,1.25,0.02,0.92,0.28,24,society,social justice,LGBTQ: Black,"__,cat,matter,nerd,writer,bi,bitch,black,art,__________,blm,justic,game,lover,#blacklivesmatt","jvn,antoni,bobbyberk,Karamo,tanfrance,QueerEye,BarackObama,chrissyteigen,AOC,TheEllenShow,MichelleObama,jimmyfallon,VancityReynolds,BernieSanders,staceyabrams,StephenAtHome,Lin_Manuel,SenSanders,EmmaWatson,ewarren,ajc,AnnaKendrick47,ChrisEvans,LilNasX,GAFollowers"
285,5.65,0.1318,0.0836,0.73,701.06,6.55,367,5.91,1372.69,7.22,201,5.30,7694.34,8.95,780,6.66,79,0.18,1.58,0.15,0.95,0.30,25,entertainment,music,Music Industry,"music,artist,produc,record,book,songwrit,singer,stream,label,album,musician,entertain,avail,email,song","AtlanticRecords,CapitolRecords,Epic_Records,warnerrecords,warnermusic,RCARecords,ColumbiaRecords,UMG,sonymusic,defjam,Interscope,IslandRecords,virginrecords,islandrecordsuk,Drake,emirecords,JColeNC,LilTunechi,Tip,rihanna,ColumbiaUK,BarackObama,kendricklamar,RocNation,billboard"
302,5.71,0.1207,0.0676,0.91,466.75,6.15,295,5.69,1927.64,7.56,95,4.55,5087.44,8.53,698.5,6.55,73,0.10,1.63,0.06,0.88,0.28,26,sports,Martial Arts,mma,"mma,belt,ufc,bjj,martial,fighter,god,train,host,2toe,sambo,shit,artist,father,fit","ufc,danawhite,joerogan,TheNotoriousMMA,JonnyBones,NateDiaz209,dc_mma,arielhelwani,ajc,GeorgesStPierre,RondaRousey,BarackObama,realDonaldTrump,GamebredFighter,elonmusk,Cowboycerrone,espn,AtlantaFalcons,KingJames,GAFollowers,SportsCenter,stylebender,MikeTyson,wsbtv,ChaelSonnen"
631,6.45,0.0998,0.0608,0.42,771.85,6.65,492,6.20,997.05,6.90,281,5.64,4227.05,8.35,912,6.82,86,0.51,2.04,0.25,0.97,0.31,27,entertainment,movies,Films,"film,actor,actress,filmmak,talent,writer,tv,produc,entertain,model,atlanta,product,director,televis,industri","gafmde,GA_Production,CastingGA,atlantafilmfest,actinginatlanta,BigPicCast,FilmAtlanta,ajc,FilmingInGA,georgiafilmbiz,WIFTAtlanta,HyltonCasting,ReelGA,Extrascasting,cl_atlanta,BarackObama,AtlantaMagazine,ATL_Events,ProjectCasting,JPervisTalent,KeepGAFilmBoom,CityofAtlanta,tylerperry,ActorsAccess,CSCasting"
269,5.59,0.1422,0.0849,0.56,584.68,6.37,381,5.94,1677.42,7.43,185,5.22,4597.29,8.43,625,6.44,68,0.43,1.90,0.26,0.88,0.29,28,entertainment,movies,screenwrit,"film,filmmak,director,screenwrit,produc,movi,stori,writer,tv,televis,creativ,actor,editor,award,media","ParamountPics,wbpictures,UniversalPics,SonyPictures,20thcentury,warnerbros,MGM_Studios,ajc,sundancefest,Variety,THR,BarackObama,IndieWire,Tribeca,Lionsgate,TheAcademy,DisneyStudios,filmindependent,IMDb,amblin,ava,nytimes,netflix,EW,WBHomeEnt"
393,5.97,0.1566,0.1079,0.61,348.42,5.85,169,5.13,129.21,4.86,27,3.30,390.45,5.97,29,3.37,18,0.35,1.56,0.22,0.87,0.27,29,entertainment,music,Radio: DJs and Atlanta Personalities,"music,artist,follow,money,woot,meallionair,soundz,us,croft,base,god,holm,pkwi,wesley,young","ajc,RickeySmiley,BarackObama,tarajiphenson,SportsCenter,jimmyfallon,V103Atlanta,Kandi,Tip,espn,taylorswift13,TheEllenShow,tylerperry,danieltosh,AtlantaFalcons,KevinHart4real,Drake,UncleRUSH,wsbtv,fatbellybella,ryancameron,hot1079atl,katyperry,KimKardashian,jtimberlake"
370,5.91,0.1113,0.0767,0.77,710.84,6.57,439.5,6.09,860.81,6.76,163,5.09,4143.84,8.33,967.5,6.87,90,0.23,2.09,0.26,0.97,0.32,30,atlanta,Things To Do in Atlanta,Pubs,"beer,craft,brew,breweri,atlanta,lover,homebrew,food,drink,tap,brewpub,growler,beverag,brewer,wine","MondayNight,sweetwaterbrew,BeerWildHeaven,TerrapinBeerCo,RedHareBrewing,atlbrewing,ThreeTaverns,orpheusbrewing,ajc,PorterBeerBar,WreckingBar,jekyllbrewing,creaturebeer,brickstorepub,BHB_brews,cl_atlanta,EventideBrewing,JailhouseBrews,HopCity,ATL_Events,BlueTarpBrew,AleYeahBeer,AtlantaMagazine,BeerGeekATL,secondselfbeer"
312,5.74,0.1327,0.0839,0.45,616.99,6.42,393,5.97,3344.39,8.12,99.5,4.60,3273.48,8.09,597.5,6.39,66,0.52,1.85,0.09,0.87,0.29,31,entertainment,music,southern,"countri,love,music,life,wife,southern,lover,mom,christ,bankruptci,less,kincaid,dreyon,schreetah,sing","blakeshelton,LukeBryanOnline,Jason_Aldean,mirandalambert,ajc,DierksBentley,carrieunderwood,ericchurch,BradPaisley,TheTimMcGraw,KeithUrban,TheEllenShow,FLAGALine,jakeowen,kennychesney,zacbrownband,jimmyfallon,wsbtv,williebosshog,JaseDuckman,ladya,realDonaldTrump,Braves,AtlantaFalcons,taylorswift13"
1353,7.21,0.0870,0.0433,0.58,632.15,6.45,349,5.86,2234.05,7.71,210,5.35,3596.06,8.19,1174,7.07,98,0.45,2.05,0.13,0.94,0.30,32,society,religion,jesus,"jesus,christ,husband,church,pastor,follow,father,love,christian,wife,god,grace,ministri,author,discipl","AndyStanley,louiegiglio,JohnPiper,CSLewisDaily,ajc,lecrae,RickWarren,BethMooreLPM,plattdavid,christomlin,passion268,passioncity,MattChandler74,timkellernyc,desiringGod,crowdermusic,bobgoff,BuckheadChurch,BarackObama,jimmyfallon,JohnCMaxwell,MaxLucado,CatalystLeader,TimTebow,shelleygiglio"
229,5.43,0.1259,0.1257,0.52,151.46,5.02,69,4.23,81.58,4.40,10,2.30,548.94,6.31,13,2.56,13,0.41,1.97,0.31,0.91,0.28,33,entertainment,news,Gen-Pop News,"supplement,truck,voicemail,ruth,lunch,es,product,servic,busi,de,artist,perform,gate,provid,im","FultonCoSchools,GwinnettSchools,ajc,wsbtv,Braves,AtlantaFalcons,FOX5Atlanta,ATLHawks,ATL_Events,GAFollowers,11AliveNews,BarackObama,TheEllenShow,jimmyfallon,SportsCenter,cnnbrk,cl_atlanta,AtlantaMagazine,taylorswift13,katyperry,rihanna,realDonaldTrump,CityofAtlanta,KimKardashian,jtimberlake"
231,5.44,0.1310,0.0941,0.31,545.37,6.30,255,5.54,611.66,6.42,95,4.55,1631.85,7.40,201,5.30,27,0.65,2.19,0.39,0.88,0.31,34,atlanta,Things To Do in Atlanta,help,"parent,mom,famili,children,school,youth,nanni,doula,help,babi,atlanta,safe,infant,healthi,educ","parentsmagazine,parenting,HuffPostParents,ajc,Todaysparent,wsbtv,Oprah,pbsparents,ATL_Events,cl_atlanta,AtlantaMagazine,BarackObama,ModernMom,TheEllenShow,TodaysMoms,CityofAtlanta,FOX5Atlanta,GAFollowers,momsatwork,thebump,nytimes,BabyCenter,cnnbrk,coolmompicks,ScaryMommy"
752,6.62,0.1039,0.0656,0.46,627.25,6.44,319,5.77,447.05,6.10,146,4.98,2298.71,7.74,391.5,5.97,44,0.49,2.62,0.32,0.93,0.30,35,atlanta,Real Estate,realtor,"estat,real,realtor,atlanta,home,realti,properti,broker,agent,metro,sell,residenti,mortgag,buyer,buy","nardotrealtor,realtormag,ajc,realtordotcom,zillow,trulia,InmanNews,CityofAtlanta,AtlantaMagazine,NAR_Research,ATL_Events,wsbtv,cl_atlanta,ATLINtownPaper,HousingWire,AtlBizChron,WSJRealEstate,DiscoverAtlanta,AtlantaBeltLine,FOX5Atlanta,MidtownATL,WSJ,AtlantaREALTORS,Forbes,garealtors"
919,6.82,0.1057,0.0626,0.27,709.74,6.56,425,6.05,561.99,6.33,118,4.77,3936.72,8.28,432,6.07,48,0.66,1.74,0.25,0.92,0.30,36,entertainment,lifestyle,fashion,"fashion,design,style,jewelri,beauti,stylist,model,women,cloth,hair,boutiqu,brand,shop,accessori,luxuri","voguemagazine,ajc,ELLEmagazine,Burberry,marcjacobs,InStyle,VogueRunway,BarackObama,CHANEL,TheEllenShow,Oprah,MichaelKors,YSL,Dior,marieclaire,harpersbazaarus,LouisVuitton,Versace,Fashionista_com,dolcegabbana,rihanna,WhoWhatWear,VanityFair,wwd,KimKardashian"
593,6.39,0.1459,0.1062,0.52,330.28,5.80,125,4.83,208.15,5.34,23,3.14,988.67,6.90,22,3.09,17,0.47,1.83,0.27,0.77,0.27,37,entertainment,news,radio,"servic,life,radio,compani,new,us,busi,help,best,music,tax,custom,promot,beauti,profit","ajc,TheEllenShow,jimmyfallon,wsbtv,KevinHart4real,WSJ,taylorswift13,BarackObama,ActuallyNPH,Oprah,katyperry,SportsCenter,ladygaga,nytimes,cnnbrk,azizansari,TheEconomist,voguemagazine,Forbes,GAFollowers,KimKardashian,marcjacobs,justinbieber,mindykaling,CHANEL"
3621,8.19,0.0804,0.0423,0.71,852.97,6.75,330,5.80,991.66,6.90,98,4.58,5373.72,8.59,917,6.82,87,0.29,2.23,0.06,0.82,0.28,38,society,politics,Trump,"conserv,#maga,patriot,trump,father,husband,#trump2020,american,#kag,christian,#wwg1wga,maga,proud,god,countri","realDonaldTrump,TuckerCarlson,POTUS,seanhannity,DonaldJTrumpJr,PressSec,IngrahamAngle,WhiteHouse,RealCandaceO,FLOTUS,IvankaTrump,RealJamesWoods,FoxNews,dbongino,marklevinshow,EricTrump,Mike_Pence,VP,KellyannePolls,benshapiro,DineshDSouza,ajc,JudgeJeanine,tedcruz,greggutfeld"
372,5.92,0.1569,0.1602,0.53,195.62,5.28,100,4.61,64.50,4.17,13,2.56,141.24,4.95,9,2.20,7,0.47,1.52,0.20,0.84,0.26,39,entertainment,music,hip-hop,"hip-hop,music,rap,entertain,art,lifestyl,soul,show,cute,tv,cultur,us,literatur,cameroon_beauti,imvu","ajc,wsbtv,SnoopDogg,Diddy,cl_atlanta,TreySongz,justinbieber,GAFollowers,Ludacris,jimmyfallon,TMZ,tarajiphenson,CELEBUZZ,jimmykimmel,ATL_Events,fatbellybella,katyperry,llcoolj,Usher,TheRealEve,AtlantaFalcons,rihanna,GwynethPaltrow,aliciakeys,designmilk"
317,5.76,0.1524,0.1144,0.76,221.61,5.40,103,4.63,287.36,5.66,11,2.40,1955.61,7.58,17,2.83,15,0.17,1.30,0.11,0.79,0.28,40,sports,Soccer,game,"soccer,sport,nfl,nba,rap,soy,hip-hop,deport,game,mlb,mma,music,love,de,footbal","Cristiano,neymarjr,GarethBale11,MesutOzil1088,ajc,wsbtv,GAFollowers,AtlantaFalcons,FALCAO,cl_atlanta,StephenCurry30,KingJames,andresiniesta8,LuisSuarez9,ATLHawks,ATL_Events,rihanna,MarceloM12,jamesdrodriguez,kobebryant,D_DeGea,BarackObama,justinbieber,manuginobili,DezBryant"
